Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pensions,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,PR,OROCOVIS,,"$8,079 ","$4,523 ", $- ,$300 , $- , $- ,$5 ,"$3,250 ",241
15,PR,PATILLAS,,"$6,118 ","$3,826 ", $- ,$397 , $- , $- ,$14 ,"$1,880 ",239
15,PR,PENUELAS,,"$10,934 ","$6,056 ", $- ,$441 , $- , $- ,$48 ,"$4,388 ",444
15,PR,PONCE,,"$73,371 ","$41,030 ", $- ,"$3,948 ", $- , $- ,$466 ,"$27,928 ","3,550"
15,PR,QUEBRADILLAS,,"$11,129 ","$6,710 ", $- ,$599 , $- , $- , $- ,"$3,820 ",407
15,PR,RINCON,,"$5,244 ","$3,333 ", $- ,$173 , $- , $- ,$10 ,"$1,728 ",250
15,PR,RIO GRANDE,,"$24,389 ","$10,240 ", $- ,$835 , $- , $- ,$32 ,"$13,282 ",768
15,PR,SABANA GRANDE,,"$11,721 ","$7,207 ", $- ,$922 , $- , $- ,$11 ,"$3,580 ",538
15,PR,SALINAS,,"$12,815 ","$7,606 ", $- ,$582 , $- , $- ,$11 ,"$4,616 ",562
15,PR,SAN GERMAN,,"$13,232 ","$7,996 ", $- ,$875 , $- , $- ,$23 ,"$4,338 ",638
15,PR,SAN JUAN,,"$209,765 ","$71,303 ","$19,358 ","$6,572 ", $- ,"$18,807 ","$1,043 ","$92,681 ","5,095"
15,PR,SAN LORENZO,,"$13,808 ","$6,823 ", $- ,$736 , $- , $- ,$62 ,"$6,186 ",472
15,PR,SAN SEBASTIAN,,"$12,209 ","$7,054 ", $- ,$552 , $- , $- ,$17 ,"$4,586 ",522
15,PR,SANTA ISABEL,,"$8,720 ","$4,854 ", $- ,$499 , $- , $- ,$125 ,"$3,243 ",431
15,PR,TOA ALTA,,"$29,027 ","$12,793 ", $- ,"$1,639 ", $- , $- ,$62 ,"$14,533 ",955
15,PR,TOA BAJA,,"$51,956 ","$23,426 ", $- ,"$1,827 ", $- , $- ,$319 ,"$26,385 ","1,544"
15,PR,TRUJILLO ALTO,,"$26,679 ","$10,967 ", $- ,$792 , $- , $- ,$29 ,"$14,891 ",941
15,PR,UTUADO,,"$11,952 ","$5,992 ", $- ,$539 , $- , $- ,$10 ,"$5,412 ",450
15,PR,VEGA ALTA,,"$15,154 ","$6,764 ", $- ,$477 , $- , $- ,$18 ,"$7,895 ",488
15,PR,VEGA BAJA,,"$26,278 ","$12,718 ", $- ,$805 , $- , $- ,$203 ,"$12,551 ",786
15,PR,VIEQUES,,"$4,180 ","$2,059 ", $- ,$9 , $- , $- ,$10 ,"$2,101 ",207
15,PR,VILLALBA,,"$7,552 ","$4,308 ", $- ,$535 , $- , $- ,$48 ,"$2,661 ",331
15,PR,YABUCOA,,"$11,882 ","$5,954 ", $- ,$279 , $- , $- ,$18 ,"$5,632 ",397
15,PR,YAUCO,,"$16,849 ","$9,410 ", $- ,$883 , $- , $- ,$15 ,"$6,541 ",764
15,PR,Puerto Rico Totals,"90,395","$1,602,762 ","$784,777 ","$22,876 ","$64,137 ", $- ,"$21,448 ","$5,224 ","$704,301 ","56,100"
15,PR,CONG. DIST (01),"90,395","$1,602,762 ","$784,777 ","$22,876 ","$64,137 ", $- ,"$21,448 ","$5,224 ","$704,301 ","56,100"
15,PR,Puerto Rico (Totals),"90,395","$1,602,762 ","$784,777 ","$22,876 ","$64,137 ", $- ,"$21,448 ","$5,224 ","$704,301 ","56,100"
